                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.80732,                 2.8911,                 1.2491,                0.00605,                0.79592,                0.29993,                0.18935,                0.68176,                 3.1005,                 1.1146,                0.00012,                0.00012,                0.00012
                      2,                0.70361,                 2.0379,                 1.0889,                0.93414,                0.43427,                0.54665,                0.45007,                0.75903,                 2.5537,                 1.0528,             0.00025871,             0.00025871,             0.00025871
                      3,                  0.661,                 1.4312,                 1.0993,                0.92705,                0.53061,                 0.6872,                0.55479,                0.74761,                 2.2929,                 1.0642,             0.00039604,             0.00039604,             0.00039604
                      4,                0.63996,                 1.2286,                 1.0549,                      1,                0.08424,                0.38381,                0.26052,                 1.2461,                 3.0272,                 1.6254,             0.00053198,             0.00053198,             0.00053198
                      5,                0.69793,                  1.212,                 1.0634,                0.84814,                0.60204,                0.67876,                0.52284,                0.79032,                 1.9619,                 1.0706,             0.00066654,             0.00066654,             0.00066654
                      6,                0.67287,                 1.1276,                 1.0892,                0.88037,                0.69388,                 0.7473,                0.58022,                0.82884,                 1.8631,                 1.0937,             0.00079971,             0.00079971,             0.00079971
                      7,                0.66055,                 1.0372,                 1.0646,                0.84807,                0.62658,                0.71422,                0.49551,                 1.0168,                 2.1167,                  1.218,             0.00093149,             0.00093149,             0.00093149
                      8,                0.70005,                0.96947,                 1.0681,                0.75233,                0.69388,                 0.7042,                0.48924,                0.91407,                 1.8611,                 1.1454,              0.0010619,              0.0010619,              0.0010619
                      9,                0.66954,                0.92446,                 1.0299,                0.92312,                0.73516,                0.86289,                0.64083,                0.89603,                 1.7507,                 1.1333,              0.0011909,              0.0011909,              0.0011909
                     10,                0.63609,                0.89491,                 1.0136,                0.68596,                0.68367,                0.68846,                0.51452,                0.88769,                  1.937,                 1.1239,              0.0013185,              0.0013185,              0.0013185
                     11,                0.71474,                0.87447,                 1.0331,                 0.8655,                0.65664,                0.78347,                0.59397,                0.91143,                  1.821,                 1.1597,              0.0014448,              0.0014448,              0.0014448
                     12,                0.63043,                0.93075,                 1.0525,                 0.7304,                0.52528,                 0.5878,                0.43025,                0.97333,                 2.1792,                 1.1913,              0.0015696,              0.0015696,              0.0015696
                     13,                0.66945,                0.92781,                 1.0449,                 0.8212,                0.66327,                 0.7547,                0.54809,                0.98194,                 1.8042,                 1.1742,              0.0016931,              0.0016931,              0.0016931
                     14,                0.72286,                 1.0038,                 1.0649,                 0.8317,                0.65555,                0.80483,                 0.5827,                 0.9359,                 1.3896,                 1.2119,              0.0018152,              0.0018152,              0.0018152
                     15,                0.66267,                0.82073,                 1.0291,                0.73279,                0.61567,                0.72856,                0.51491,                0.93001,                 1.4967,                 1.2465,              0.0018614,              0.0018614,              0.0018614
                     16,                0.66325,                0.80699,                 1.0375,                0.68246,                0.54082,                0.57005,                0.39071,                 1.1031,                  2.013,                 1.3407,              0.0018614,              0.0018614,              0.0018614
                     17,                0.66777,                0.86054,                 1.0205,                0.72045,                0.43878,                0.52636,                 0.3802,                 1.0822,                 2.0457,                  1.355,              0.0018515,              0.0018515,              0.0018515
                     18,                0.71479,                0.87189,                 1.1185,                0.46517,                0.38776,                0.35377,                 0.2149,                 1.3324,                 2.5523,                 1.5746,              0.0018416,              0.0018416,              0.0018416
                     19,                0.72649,                 0.8565,                 1.0964,                0.57264,                0.35714,                0.42297,                0.28535,                 1.2182,                 1.9993,                 1.6197,              0.0018317,              0.0018317,              0.0018317
                     20,                0.71225,                 0.8698,                  1.081,                0.87654,                0.76531,                 0.8291,                0.59966,                0.89029,                 1.2932,                 1.2087,              0.0018218,              0.0018218,              0.0018218
                     21,                 0.6727,                0.76909,                 1.0135,                0.78736,                0.77551,                 0.8174,                0.62437,                  0.802,                 1.2793,                 1.0643,              0.0018119,              0.0018119,              0.0018119
                     22,                0.64434,                0.81862,                 1.0248,                0.82933,                0.72449,                0.80021,                0.61392,                0.87987,                 1.1908,                 1.0967,               0.001802,               0.001802,               0.001802
                     23,                0.72362,                0.88082,                 1.0559,                0.88676,                0.64286,                0.74129,                0.53521,                 1.0661,                 1.3789,                 1.2797,              0.0017921,              0.0017921,              0.0017921
                     24,                0.76966,                0.83694,                 1.0475,                0.71968,                0.73353,                0.71496,                0.53325,                0.95349,                 1.3941,                 1.2228,              0.0017822,              0.0017822,              0.0017822
                     25,                0.64823,                0.71331,                  1.019,                  0.901,                0.70408,                0.78957,                0.60189,                0.93673,                  1.187,                 1.2213,              0.0017723,              0.0017723,              0.0017723
                     26,                0.65513,                 0.7285,                 1.0373,                0.93099,                 0.6883,                0.79393,                0.61751,                0.85691,                  1.167,                 1.1158,              0.0017624,              0.0017624,              0.0017624
                     27,                 0.6764,                0.73775,                 1.0556,                0.76212,                0.85714,                0.87909,                0.69712,                0.82692,                0.91224,                 1.0983,              0.0017525,              0.0017525,              0.0017525
                     28,                0.72925,                0.76609,                 1.0771,                0.90596,                0.85714,                0.92358,                0.71639,                0.76477,                0.84833,                 1.0481,              0.0017426,              0.0017426,              0.0017426
                     29,                0.62953,                0.66678,                 1.0064,                0.80706,                0.89637,                0.89379,                0.66463,                0.78253,                0.85952,                 1.0572,              0.0017327,              0.0017327,              0.0017327
                     30,                0.62793,                0.70119,                 1.0165,                0.79055,                0.83673,                0.83466,                  0.609,                0.84578,                0.95264,                 1.1085,              0.0017228,              0.0017228,              0.0017228
                     31,                0.71658,                0.69783,                 1.0579,                0.78918,                0.88776,                0.92582,                0.67901,                0.80885,                0.83574,                 1.0685,              0.0017129,              0.0017129,              0.0017129
                     32,                 0.5816,                0.63402,                 1.0093,                0.89443,                0.86735,                0.93605,                0.71818,                0.75874,                0.96618,                 1.0647,               0.001703,               0.001703,               0.001703
                     33,                0.59831,                0.64036,                 1.0168,                0.90156,                0.84106,                0.93269,                 0.7223,                0.75787,                0.87621,                 1.0463,              0.0016931,              0.0016931,              0.0016931
                     34,                0.64964,                  0.655,                 1.0391,                0.88814,                0.88776,                0.93746,                0.74255,                 0.7334,                0.74819,                 1.0461,              0.0016832,              0.0016832,              0.0016832
                     35,                 0.6221,                0.63113,                0.99847,                 0.9435,                0.87755,                0.94373,                0.73491,                0.78088,                0.71792,                 1.0411,              0.0016733,              0.0016733,              0.0016733
                     36,                 0.5697,                0.61251,                0.96381,                0.89485,                0.91837,                0.95229,                0.70746,                0.80459,                0.68324,                 1.0474,              0.0016634,              0.0016634,              0.0016634
                     37,                0.58298,                 0.5927,                 1.0042,                0.92775,                0.91725,                0.95649,                0.70004,                0.82198,                0.68313,                 1.0589,              0.0016535,              0.0016535,              0.0016535
                     38,                0.60486,                0.61111,                0.97899,                0.89301,                0.88776,                0.95387,                0.73602,                0.77737,                0.68498,                 1.0807,              0.0016436,              0.0016436,              0.0016436
                     39,                0.64482,                 0.5994,                  1.023,                0.89243,                0.91837,                0.95829,                0.73625,                0.78817,                0.62538,                 1.0812,              0.0016337,              0.0016337,              0.0016337
                     40,                0.55526,                 0.5935,                0.99574,                0.83615,                0.88529,                0.94654,                0.75714,                0.71415,                0.64686,                 1.0496,              0.0016238,              0.0016238,              0.0016238
                     41,                0.61896,                0.55695,                0.97136,                0.83261,                0.87755,                0.93259,                0.74634,                0.68695,                 0.7345,                 1.0278,              0.0016139,              0.0016139,              0.0016139
                     42,                0.56127,                0.53947,                0.96255,                0.81578,                0.90377,                0.92162,                0.71679,                0.75336,                0.75083,                 1.0258,               0.001604,               0.001604,               0.001604
                     43,                0.59342,                0.55279,                0.98483,                0.91431,                0.84694,                0.93498,                0.74233,                0.74135,                 0.6785,                 1.0284,              0.0015941,              0.0015941,              0.0015941
                     44,                0.63826,                0.59081,                 1.0045,                0.87415,                0.87755,                0.94773,                 0.7386,                  0.769,                0.65334,                 1.0519,              0.0015842,              0.0015842,              0.0015842
                     45,                 0.5617,                 0.5394,                0.97907,                0.84753,                0.87755,                 0.9379,                0.72511,                0.75769,                0.67261,                 1.0446,              0.0015743,              0.0015743,              0.0015743
                     46,                0.62898,                0.55546,                0.97212,                0.87922,                0.82653,                0.92707,                 0.7118,                0.81258,                0.69334,                 1.0826,              0.0015644,              0.0015644,              0.0015644
                     47,                0.59036,                0.56106,                0.97152,                0.80396,                0.80612,                0.87683,                0.65189,                0.90957,                0.79778,                 1.1438,              0.0015545,              0.0015545,              0.0015545
                     48,                0.57003,                0.53531,                0.96447,                0.88285,                0.81633,                0.91604,                0.72192,                0.71316,                 0.7089,                0.99509,              0.0015446,              0.0015446,              0.0015446
                     49,                0.58582,                0.54274,                0.98921,                0.90586,                0.91837,                0.94587,                0.74932,                0.70029,                0.63914,                0.98657,              0.0015347,              0.0015347,              0.0015347
                     50,                0.54997,                0.54794,                 1.0161,                0.86071,                0.91837,                0.93979,                0.74289,                0.71202,                0.62747,                 1.0196,              0.0015248,              0.0015248,              0.0015248
                     51,                0.56432,                0.55214,                0.98639,                0.91969,                0.86735,                0.92359,                0.73291,                0.71982,                0.64505,                 1.0247,              0.0015149,              0.0015149,              0.0015149
                     52,                0.51373,                0.50689,                0.95616,                0.95261,                0.89796,                0.94026,                0.76211,                0.70174,                0.61377,                 1.0074,               0.001505,               0.001505,               0.001505
                     53,                0.49873,                0.50559,                0.96066,                0.93699,                0.87755,                0.93425,                0.75087,                0.69004,                 0.6247,                0.99279,              0.0014951,              0.0014951,              0.0014951
                     54,                0.56989,                 0.5148,                0.98581,                0.88436,                0.85842,                0.92103,                0.73554,                0.72804,                0.67869,                 1.0282,              0.0014852,              0.0014852,              0.0014852
                     55,                0.51879,                 0.5028,                0.96945,                0.92148,                0.84694,                0.93319,                0.75104,                0.73224,                 0.6595,                 1.0464,              0.0014753,              0.0014753,              0.0014753
                     56,                0.48452,                0.48372,                0.97161,                0.94819,                0.88776,                0.92671,                0.75642,                0.71248,                0.59123,                 1.0377,              0.0014654,              0.0014654,              0.0014654
                     57,                0.52096,                0.49803,                0.96951,                0.96618,                0.87444,                 0.9349,                0.76838,                0.69785,                0.55501,                 1.0117,              0.0014555,              0.0014555,              0.0014555
                     58,                0.58743,                0.54556,                 1.0238,                 0.9464,                0.90085,                0.94923,                0.79157,                0.66393,                0.53997,                0.98963,              0.0014456,              0.0014456,              0.0014456
                     59,                0.52706,                0.49323,                0.97174,                0.98707,                0.88776,                0.97124,                 0.8033,                0.65961,                0.51733,                0.96817,              0.0014357,              0.0014357,              0.0014357
                     60,                0.56851,                0.49902,                0.96036,                0.98211,                0.90816,                  0.973,                0.80283,                0.66403,                0.49662,                0.96804,              0.0014258,              0.0014258,              0.0014258
                     61,                0.49541,                0.48407,                0.94944,                 0.9978,                0.90816,                0.98328,                0.80501,                0.66842,                0.50461,                0.97426,              0.0014159,              0.0014159,              0.0014159
                     62,                0.52106,                0.53229,                0.97702,                0.94687,                0.91837,                0.97485,                 0.7977,                0.69761,                0.53671,                0.97369,               0.001406,               0.001406,               0.001406
                     63,                0.58809,                0.51226,                0.94863,                0.95751,                0.91973,                0.97444,                0.80644,                0.68126,                0.52106,                0.97906,              0.0013961,              0.0013961,              0.0013961
                     64,                0.48319,                0.45001,                0.97205,                0.89642,                0.97147,                0.97856,                0.79522,                0.68401,                0.55034,                0.99435,              0.0013862,              0.0013862,              0.0013862
                     65,                0.53429,                0.44958,                0.94474,                0.91249,                0.95767,                0.97798,                0.79191,                0.67788,                 0.5478,                0.98295,              0.0013763,              0.0013763,              0.0013763
                     66,                  0.566,                0.52209,                0.97614,                0.93436,                0.95918,                0.98556,                0.79685,                0.68338,                0.51753,                0.97369,              0.0013664,              0.0013664,              0.0013664
                     67,                 0.5343,                0.50411,                0.95861,                0.97501,                0.95918,                0.98917,                0.79069,                0.63321,                0.51174,                0.96552,              0.0013565,              0.0013565,              0.0013565
                     68,                0.49176,                0.47845,                0.94941,                0.97814,                0.91333,                0.98128,                0.78328,                0.64341,                0.52018,                 0.9884,              0.0013466,              0.0013466,              0.0013466
                     69,                0.43763,                 0.4251,                0.92845,                0.93888,                0.94058,                0.97658,                0.77737,                0.66865,                0.53382,                 1.0062,              0.0013367,              0.0013367,              0.0013367
                     70,                0.46556,                0.43068,                0.95079,                0.97766,                0.89331,                0.97635,                0.78838,                0.66246,                0.53375,                0.99742,              0.0013268,              0.0013268,              0.0013268
                     71,                0.47689,                0.44916,                0.95609,                0.98364,                0.89796,                0.97025,                0.80289,                0.65081,                0.51137,                0.98164,              0.0013169,              0.0013169,              0.0013169
                     72,                0.46502,                0.45527,                0.93794,                0.95566,                0.90816,                 0.9656,                0.80393,                0.63544,                 0.5082,                0.96788,               0.001307,               0.001307,               0.001307
                     73,                0.49471,                0.45277,                0.96267,                0.94312,                0.92857,                0.96262,                0.80538,                0.62152,                0.49799,                0.96323,              0.0012971,              0.0012971,              0.0012971
                     74,                0.47764,                0.44137,                0.93866,                0.96657,                0.94898,                0.97788,                0.80327,                0.64225,                0.48025,                0.98135,              0.0012872,              0.0012872,              0.0012872
                     75,                0.48567,                0.42604,                0.95428,                0.92117,                0.95918,                0.96696,                0.78682,                 0.6609,                0.50003,                0.98659,              0.0012773,              0.0012773,              0.0012773
                     76,                0.46767,                0.42546,                0.92834,                0.89242,                0.90816,                0.94598,                0.77509,                0.62924,                0.59955,                0.96377,              0.0012674,              0.0012674,              0.0012674
                     77,                0.49956,                0.43827,                0.93549,                0.88177,                0.90816,                0.94843,                0.78044,                0.61042,                0.57063,                 0.9499,              0.0012575,              0.0012575,              0.0012575
                     78,                0.44869,                0.40771,                0.93475,                0.94637,                0.90026,                0.95264,                0.77553,                0.64095,                0.50822,                0.98115,              0.0012476,              0.0012476,              0.0012476
                     79,                0.48348,                0.43658,                0.94343,                0.90821,                0.90872,                0.96056,                0.79121,                 0.6543,                0.49516,                 1.0042,              0.0012377,              0.0012377,              0.0012377
                     80,                0.46892,                0.47775,                0.95926,                0.95158,                0.91837,                0.97652,                0.81449,                0.63489,                0.45405,                0.98345,              0.0012278,              0.0012278,              0.0012278
                     81,                0.48921,                0.42552,                0.93917,                0.93148,                0.97106,                0.98031,                0.80333,                0.66731,                0.45648,                 0.9943,              0.0012179,              0.0012179,              0.0012179
                     82,                 0.5387,                0.45303,                0.91933,                 0.9578,                0.96939,                0.98177,                0.80517,                0.67591,                0.45523,                 1.0049,               0.001208,               0.001208,               0.001208
                     83,                0.43718,                0.42381,                0.94448,                0.94861,                0.95918,                0.96109,                0.79266,                0.66007,                0.45116,                 1.0045,              0.0011981,              0.0011981,              0.0011981
                     84,                0.44899,                0.40365,                0.95179,                0.93846,                0.93367,                0.95728,                0.78594,                0.66401,                0.48536,                0.99979,              0.0011882,              0.0011882,              0.0011882
